id,transaction_id,list_id,list_date,score,user_type,segment,industry,marketing_goal,marketing_funnel,marketing_title,special_offer,interest,activity,data_type,item_name,transaction_date,transaction_key,transaction_value,source,payment_category,payment_product,payment_price,payment_date,address,referrer,utm_source,utm_medium,utm_campaign,utm_term,utm_content
ghdq6e9qwfjgadcx,66dbc794a73c100006340b27,665bcc45cd3a8000190fbc79,2024-06-02T01:35:01.605Z,0,visitor,제품,패션,브랜드 인지도,구매 유도,프로모션 페이지,할인 쿠폰,여성 의류,이벤트,고객행동데이터,프로모션방문완료,2024-09-07T03:25:08.660Z,2,https://m.n-shine.com/product/detail.html?product_no=1015&amp;across_adn_utm=MjAxNjg2OTd8MTA2MDk4fDEwNjA5ODAwMDR8MDAwODQ1Mzd8MDEwMjc2NjU%3D&amp;rnd=1725674979&amp;utm_source=MOBON&amp;utm_medium=display&amp;utm_=&amp;utm_campaign=M-BN,web,,,,,,https://www.mediacategory.com/,MOBON,display,M-BN,,
ghdq6e9qwfjgadcx,66dab8eca73c1000060ad6f2,665bcc45cd3a8000190fbc79,2024-06-02T01:35:01.605Z,0,visitor,제품,패션,브랜드 인지도,구매 유도,프로모션 페이지,할인 쿠폰,여성 의류,이벤트,고객행동데이터,프로모션방문완료,2024-09-06T08:10:20.612Z,2,https://m.n-shine.com/product/detail.html?product_no=11&amp;across_adn_utm=MjAxNjg2OTd8MTA2MDk4fDEwNjA5ODAwMDR8MDAwODQ1Mzd8MDEwMjc2NjU%3D&amp;rnd=1725595658&amp;utm_=&amp;utm_=&amp;utm_=&amp;utm_source=MOBON&amp;utm_medium=display&amp;utm_=&amp;utm_campaign=M-BN,web,,,,,,https://www.mediacategory.com/,MOBON,display,M-BN,,
ghdq6e9qwfjgadcx,66dab8eca73c1000060ad6f1,665bcc45cd3a8000190fbc79,2024-06-02T01:35:01.605Z,0,visitor,제품,패션,브랜드 인지도,구매 유도,프로모션 페이지,할인 쿠폰,여성 의류,이벤트,고객행동데이터,프로모션방문완료,2024-09-06T08:10:20.611Z,1,1,web,,,,,https://m.n-shine.com/product/detail.html?product_no=11&amp;across_adn_utm=MjAxNjg2OTd8MTA2MDk4fDEwNjA5ODAwMDR8MDAwODQ1Mzd8MDEwMjc2NjU%3D&amp;rnd=1725595658&amp;utm_=&amp;utm_=&amp;utm_=&amp;utm_source=MOBON&amp;utm_medium=display&amp;utm_=&amp;utm_campaign=M-BN,https://www.mediacategory.com/,,,,,
ghdq6e9qwfjgadcx,66dab8ec27ee2c00064f9591,665bcc45cd3a8000190fbc79,2024-06-02T01:35:01.605Z,0,visitor,제품,패션,브랜드 인지도,구매 유도,프로모션 페이지,할인 쿠폰,여성 의류,이벤트,고객행동데이터,프로모션방문완료,2024-09-06T08:10:20.610Z,3,1,web,,,,,https://m.n-shine.com/product/detail.html?product_no=11&amp;across_adn_utm=MjAxNjg2OTd8MTA2MDk4fDEwNjA5ODAwMDR8MDAwODQ1Mzd8MDEwMjc2NjU%3D&amp;rnd=1725595658&amp;utm_=&amp;utm_=&amp;utm_=&amp;utm_source=MOBON&amp;utm_medium=display&amp;utm_=&amp;utm_campaign=M-BN,https://www.mediacategory.com/,,,,,
ghdq6e9qwfjgadcx,66d98463a73c100006dabf6d,665bcc45cd3a8000190fbc79,2024-06-02T01:35:01.605Z,0,visitor,제품,패션,브랜드 인지도,구매 유도,프로모션 페이지,할인 쿠폰,여성 의류,이벤트,고객행동데이터,프로모션방문완료,2024-09-05T10:13:55.542Z,2,https://m.n-shine.com/product/detail.html?product_no=1007&amp;fbclid=PAZXh0bgNhZW0BMAABpgDLm9KaL8ClQ9IXxtjsod08nmNlXH3ETw9v7HLrfRcEZaKn-efmtU7bSg_aem_0uNd9kzrI7qfncgdfnV5KQ&amp;utm_source=MOBON&amp;utm_medium=display&amp;utm_=&amp;utm_campaign=M-BN,web,,,,,,https://www.mediacategory.com/,MOBON,display,M-BN,,
ghdq6e9qwfjgadcx,66d9846327ee2c00061d9c77,665bcc45cd3a8000190fbc79,2024-06-02T01:35:01.605Z,0,visitor,제품,패션,브랜드 인지도,구매 유도,프로모션 페이지,할인 쿠폰,여성 의류,이벤트,고객행동데이터,프로모션방문완료,2024-09-05T10:13:55.418Z,1,1,web,,,,,https://m.n-shine.com/product/detail.html?product_no=1007&amp;fbclid=PAZXh0bgNhZW0BMAABpgDLm9KaL8ClQ9IXxtjsod08nmNlXH3ETw9v7HLrfRcEZaKn-efmtU7bSg_aem_0uNd9kzrI7qfncgdfnV5KQ&amp;utm_source=MOBON&amp;utm_medium=display&amp;utm_=&amp;utm_campaign=M-BN,https://www.mediacategory.com/,,,,,
ghdq6e9qwfjgadcx,66d9846327ee2c00061d9c64,665bcc45cd3a8000190fbc79,2024-06-02T01:35:01.605Z,0,visitor,제품,패션,브랜드 인지도,구매 유도,프로모션 페이지,할인 쿠폰,여성 의류,이벤트,고객행동데이터,프로모션방문완료,2024-09-05T10:13:55.149Z,3,1,web,,,,,https://m.n-shine.com/product/detail.html?product_no=1007&amp;fbclid=PAZXh0bgNhZW0BMAABpgDLm9KaL8ClQ9IXxtjsod08nmNlXH3ETw9v7HLrfRcEZaKn-efmtU7bSg_aem_0uNd9kzrI7qfncgdfnV5KQ&amp;utm_source=MOBON&amp;utm_medium=display&amp;utm_=&amp;utm_campaign=M-BN,https://www.mediacategory.com/,,,,,
ghdq6e9qwfjgadcx,66d8f642a73c100006c44f7f,665bcc45cd3a8000190fbc79,2024-06-02T01:35:01.605Z,0,visitor,제품,패션,브랜드 인지도,구매 유도,프로모션 페이지,할인 쿠폰,여성 의류,이벤트,고객행동데이터,프로모션방문완료,2024-09-05T00:07:30.054Z,2,https://m.n-shine.com/product/detail.html?product_no=490&amp;cate_no=90&amp;utm_source=MOBON&amp;utm_medium=display&amp;utm_=&amp;utm_campaign=M-BN,web,,,,,,https://www.mediacategory.com/,MOBON,display,M-BN,,
ghdq6e9qwfjgadcx,66d8f64127ee2c0006062c3e,665bcc45cd3a8000190fbc79,2024-06-02T01:35:01.605Z,0,visitor,제품,패션,브랜드 인지도,구매 유도,프로모션 페이지,할인 쿠폰,여성 의류,이벤트,고객행동데이터,프로모션방문완료,2024-09-05T00:07:29.793Z,1,1,web,,,,,https://m.n-shine.com/product/detail.html?product_no=490&amp;cate_no=90&amp;utm_source=MOBON&amp;utm_medium=display&amp;utm_=&amp;utm_campaign=M-BN,https://www.mediacategory.com/,,,,,
ghdq6e9qwfjgadcx,66d8f641a73c100006c44f6f,665bcc45cd3a8000190fbc79,2024-06-02T01:35:01.605Z,0,visitor,제품,패션,브랜드 인지도,구매 유도,프로모션 페이지,할인 쿠폰,여성 의류,이벤트,고객행동데이터,프로모션방문완료,2024-09-05T00:07:29.774Z,3,1,web,,,,,https://m.n-shine.com/product/detail.html?product_no=490&amp;cate_no=90&amp;utm_source=MOBON&amp;utm_medium=display&amp;utm_=&amp;utm_campaign=M-BN,https://www.mediacategory.com/,,,,,
