category,industry,interest,name,created_at1,lead_count,last_lead_activity,group_id,user_type,lead_score,geoip_country,geoip_state,geoip_city,created_at,id,key,value,source,offer_category,offer_product,offer_price,offer_created_at,url,referrer,cid,utm_source,utm_medium,utm_campaign,utm_term,utm_content,properties,event_context
여가,워크숍 컨설팅,무료 체험,"기업체, 단체 워크숍 무료상담 신청하세요!",2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae1020d706a0000636aeda,캠페인방문완료,2,web,온라인판매,무료 체험,0.0,2023-02-01,http://lp.iam2.co.kr/landing_thearam_0305/,,24hdp1xv3u9tz6fb,7.0,8.0,9.0,10,12.0,"{'value': 2, 'url': 'https://m.n-shine.com/product/detail.html?product_no=761&amp;fbclid=PAZXh0bgNhZW0BMAABpsIjsj8RlEYjJDsifPCWY-SPX_9cJJJS5DMUIi1SblWWVkztP00d6RfVZg_aem_km_pJMjo_8aM8INN8v0DxA', 'key': 'm.n-shine.com/product/detail.html', 'ip_address': '122.37.16.152', 'UTMConent': '자연으로 피부를 빛나게 하다 ■ Natural Shine homepage■', 'Referrer': 'http://instagram.com/', 'PageTitle': '자연으로 피부를 빛나게 하다 ■ Natural Shine homepage■'}",{'ip': '122.37.16.152'}
여가,워크숍 컨설팅,무료 체험,"기업체, 단체 워크숍 무료상담 신청하세요!",2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae101c6bf68b00074449b7,페이지방문완료,1,web,온라인판매,무료 체험,0.0,2023-02-01,http://lp.iam2.co.kr/landing_thearam_0305/,,24hdp1xv3u9tz6fb,7.0,8.0,9.0,10,12.0,"{'value': 1, 'url': 'https://m.n-shine.com/product/detail.html?product_no=761&amp;fbclid=PAZXh0bgNhZW0BMAABpsIjsj8RlEYjJDsifPCWY-SPX_9cJJJS5DMUIi1SblWWVkztP00d6RfVZg_aem_km_pJMjo_8aM8INN8v0DxA', 'ip_address': '122.37.16.152', 'Referrer': 'http://instagram.com/'}",{'ip': '122.37.16.152'}
여가,워크숍 컨설팅,무료 체험,"기업체, 단체 워크숍 무료상담 신청하세요!",2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae101cd706a0000636adde,visited_url,http://lp.iam2.co.kr/landing_thearam_0305/,web,온라인판매,무료 체험,0.0,2023-02-01,http://lp.iam2.co.kr/landing_thearam_0305/,,24hdp1xv3u9tz6fb,7.0,8.0,9.0,10,12.0,"{'value': 'https://m.n-shine.com/product/detail.html?product_no=761&amp;fbclid=PAZXh0bgNhZW0BMAABpsIjsj8RlEYjJDsifPCWY-SPX_9cJJJS5DMUIi1SblWWVkztP00d6RfVZg_aem_km_pJMjo_8aM8INN8v0DxA', 'referrer': 'http://instagram.com/', 'page_title': '자연으로 피부를 빛나게 하다 ■ Natural Shine homepage■', 'ip_address': '122.37.16.152'}",{'ip': '122.37.16.152'}
,,,,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae101cd706a0000636addd,사이트방문완료,1,web,,,,,,,24hdp1xv3u9tz6fb,,,,,,"{'value': 1, 'ip_address': '122.37.16.152', 'URL': 'https://m.n-shine.com/product/detail.html?product_no=761&amp;fbclid=PAZXh0bgNhZW0BMAABpsIjsj8RlEYjJDsifPCWY-SPX_9cJJJS5DMUIi1SblWWVkztP00d6RfVZg_aem_km_pJMjo_8aM8INN8v0DxA', 'Referrer': 'http://instagram.com/'}",{'ip': '122.37.16.152'}
여가,워크숍 컨설팅,무료 체험,"기업체, 단체 워크숍 무료상담 신청하세요!",2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae10173c6fe600064e3cbb,캠페인방문완료,2,web,온라인판매,무료 체험,0.0,2023-02-01,http://lp.iam2.co.kr/landing_thearam_0305/,,24hdp1xv3u9tz6fb,7.0,8.0,9.0,10,12.0,"{'value': 2, 'url': 'https://m.n-shine.com/product/event.html?cate_no=202', 'key': 'm.n-shine.com/product/event.html', 'ip_address': '122.37.16.152', 'UTMConent': '자연으로 피부를 빛나게 하다 ■ Natural Shine homepage■', 'Referrer': 'https://m.n-shine.com/product/list.html?cate_no=107', 'PageTitle': '자연으로 피부를 빛나게 하다 ■ Natural Shine homepage■'}",{'ip': '122.37.16.152'}
,,,,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae10163c6fe600064e3cb1,스트롤다운,75,web,,,,,,,24hdp1xv3u9tz6fb,,,,,,"{'value': '75', 'price': 1, 'ip_address': '122.37.16.152'}",{'ip': '122.37.16.152'}
여가,워크숍 컨설팅,무료 체험,"기업체, 단체 워크숍 무료상담 신청하세요!",2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae1016643615000c001793,visited_url,http://lp.iam2.co.kr/landing_thearam_0305/,web,온라인판매,무료 체험,0.0,2023-02-01,http://lp.iam2.co.kr/landing_thearam_0305/,,24hdp1xv3u9tz6fb,7.0,8.0,9.0,10,12.0,"{'value': 'https://m.n-shine.com/product/event.html?cate_no=202', 'referrer': 'https://m.n-shine.com/product/list.html?cate_no=107', 'page_title': '자연으로 피부를 빛나게 하다 ■ Natural Shine homepage■', 'ip_address': '122.37.16.152'}",{'ip': '122.37.16.152'}
,,,,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae10166bf68b000744495d,스트롤다운,25,web,,,,,,,24hdp1xv3u9tz6fb,,,,,,"{'value': '25', 'price': 1, 'ip_address': '122.37.16.152'}",{'ip': '122.37.16.152'}
여가,워크숍 컨설팅,무료 체험,"기업체, 단체 워크숍 무료상담 신청하세요!",2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae10166bf68b000744495a,페이지방문완료,1,web,온라인판매,무료 체험,0.0,2023-02-01,http://lp.iam2.co.kr/landing_thearam_0305/,,24hdp1xv3u9tz6fb,7.0,8.0,9.0,10,12.0,"{'value': 1, 'url': 'https://m.n-shine.com/product/event.html?cate_no=202', 'ip_address': '122.37.16.152', 'Referrer': 'https://m.n-shine.com/product/list.html?cate_no=107'}",{'ip': '122.37.16.152'}
,,,,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae10163c6fe600064e3c94,스트롤다운,50,web,,,,,,,24hdp1xv3u9tz6fb,,,,,,"{'value': '50', 'price': 1, 'ip_address': '122.37.16.152'}",{'ip': '122.37.16.152'}
