category,industry,campaign_objective,campaign_type,campaign_name,campaign_freeoffer,interest,objective,type,name,list_id,list_created_at,status,lead_count,last_lead_activity,backmatch_visitors,created_at,event_id,event_key,event_value,source,purchase_category,purchase_product,purchase_price,purchase_created_at,url,referrer,utm_source,utm_medium,utm_campaign,utm_term,utm_content,user_type,lead_score,Gender,Age,Region,cid
서비스,디자인,모객,잠재고객모집,랜딩페이지,무료웨비나,마케팅,캠페인,맞춤이벤트,1-1.맞춤전환-페이지방문완료,66f77103a8bd5e0017cec987,2024-09-28T02:59:15.189Z,live,98,2024-11-04T12:49:20.000Z,False,2024-11-04T12:27:11.973Z,6728bda0a73c1000064651b7,페이지방문완료,1,web,,,,,https://lp.eventpang.com/elbeautyacademy/,,,,,,,visitor,0,,,,hn1j2ij4ta3xjmbv
서비스,디자인,모객,잠재고객모집,랜딩페이지,무료웨비나,마케팅,캠페인,맞춤이벤트,1-1.맞춤전환-페이지방문완료,66f77103a8bd5e0017cec987,2024-09-28T02:59:15.189Z,live,98,2024-11-04T12:49:20.000Z,False,2024-11-04T12:27:11.965Z,6728bd9f27ee2c0006f1f416,viewed_campaign,2797707,web,,,,,,,,,,,,visitor,0,,,,hn1j2ij4ta3xjmbv
서비스,디자인,모객,잠재고객모집,랜딩페이지,무료웨비나,마케팅,캠페인,맞춤이벤트,1-1.맞춤전환-페이지방문완료,66f77103a8bd5e0017cec987,2024-09-28T02:59:15.189Z,live,98,2024-11-04T12:49:20.000Z,False,2024-11-04T12:27:11.964Z,6728bd9f39e50200060c20a3,visited_url,https://lp.eventpang.com/elbeautyacademy/,web,,,,,,,,,,,,visitor,0,,,,hn1j2ij4ta3xjmbv
서비스,디자인,모객,잠재고객모집,랜딩페이지,무료웨비나,마케팅,캠페인,맞춤이벤트,1-1.맞춤전환-페이지방문완료,66f77103a8bd5e0017cec987,2024-09-28T02:59:15.189Z,live,98,2024-11-04T12:49:20.000Z,False,2024-11-04T12:27:11.963Z,6728bd9f27ee2c0006f1f417,viewed_campaign_page,2797707,web,,,,,,,,,,,,visitor,0,,,,hn1j2ij4ta3xjmbv
서비스,디자인,모객,잠재고객모집,랜딩페이지,무료웨비나,마케팅,캠페인,맞춤이벤트,1-1.맞춤전환-페이지방문완료,66f77103a8bd5e0017cec987,2024-09-28T02:59:15.189Z,live,98,2024-11-04T12:49:20.000Z,False,2024-11-04T12:27:11.957Z,6728bd9fa73c1000064651b5,사이트방문완료,1,web,,,,,https://lp.eventpang.com/elbeautyacademy/,,,,,,,visitor,0,,,,hn1j2ij4ta3xjmbv
서비스,디자인,모객,잠재고객모집,랜딩페이지,무료웨비나,마케팅,캠페인,맞춤이벤트,1-1.맞춤전환-페이지방문완료,66f77103a8bd5e0017cec987,2024-09-28T02:59:15.189Z,live,98,2024-11-04T12:49:20.000Z,False,2024-11-02T06:07:22.742Z,6725c19aa73c100006cf9597,스트롤다운,50,web,,,,,,,,,,,,visitor,0,,,,hn1j2ij4ta3xjmbv
서비스,디자인,모객,잠재고객모집,랜딩페이지,무료웨비나,마케팅,캠페인,맞춤이벤트,1-1.맞춤전환-페이지방문완료,66f77103a8bd5e0017cec987,2024-09-28T02:59:15.189Z,live,98,2024-11-04T12:49:20.000Z,False,2024-11-02T06:07:22.716Z,6725c19aad748e000629af5d,사이트방문,2,web,,,,,https://lp.eventpang.com/elbeautyacademy/,,,,,,,visitor,0,,,,hn1j2ij4ta3xjmbv
서비스,디자인,모객,잠재고객모집,랜딩페이지,무료웨비나,마케팅,캠페인,맞춤이벤트,1-1.맞춤전환-페이지방문완료,66f77103a8bd5e0017cec987,2024-09-28T02:59:15.189Z,live,98,2024-11-04T12:49:20.000Z,False,2024-11-02T06:07:22.694Z,6725c19aa73c100006cf9595,스트롤다운,25,web,,,,,,,,,,,,visitor,0,,,,hn1j2ij4ta3xjmbv
서비스,디자인,모객,잠재고객모집,랜딩페이지,무료웨비나,마케팅,캠페인,맞춤이벤트,1-1.맞춤전환-페이지방문완료,66f77103a8bd5e0017cec987,2024-09-28T02:59:15.189Z,live,98,2024-11-04T12:49:20.000Z,False,2024-11-02T06:07:22.664Z,6725c19a27ee2c000677090a,스트롤다운,75,web,,,,,,,,,,,,visitor,0,,,,hn1j2ij4ta3xjmbv
서비스,디자인,모객,잠재고객모집,랜딩페이지,무료웨비나,마케팅,캠페인,맞춤이벤트,1-1.맞춤전환-페이지방문완료,66f77103a8bd5e0017cec987,2024-09-28T02:59:15.189Z,live,98,2024-11-04T12:49:20.000Z,False,2024-11-02T06:07:19.408Z,6725c197ad748e000629af2a,viewed_campaign,2797707,web,,,,,,,,,,,,visitor,0,,,,hn1j2ij4ta3xjmbv
